Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
-0.001000000,0,0,0,0,1,0
-0.000001250,0,1,0,0,1,0
-0.000001000,0,1,0,0,0,0
-0.000000000,0,1,0,1,0,0
0.000000542,0,1,0,1,0,1
0.000000917,1,1,0,1,0,1
0.000000958,1,1,1,1,0,1
0.003892625,0,1,0,1,0,1
0.033557458,1,1,1,1,0,1
0.045515000,0,0,0,0,0,0
0.045515083,0,0,1,1,0,0
0.045515125,1,1,1,1,0,1
0.046386000,0,0,0,0,0,0
0.046386042,1,1,1,1,0,1
0.047086750,0,0,0,0,0,0
0.047086917,1,1,1,1,0,1
0.047325583,0,0,0,0,0,0
0.047325625,0,1,1,1,0,0
0.047325667,1,1,1,1,0,1
0.047523292,0,0,0,0,0,0
0.047523333,0,1,1,1,0,1
0.047523375,1,1,1,1,0,1
0.047523417,0,0,0,0,0,0
0.047523542,0,1,1,1,0,0
0.047523583,1,1,1,1,0,1
0.047523708,0,0,0,0,0,0
0.047523875,1,1,1,1,0,1
0.048427500,0,0,0,0,0,0
0.048427583,1,1,1,1,0,1
0.048459042,0,0,0,0,0,0
0.048459125,1,1,1,1,0,1
0.048539667,0,0,0,0,0,0
0.048539750,0,1,0,0,0,0
0.048539792,1,1,1,1,0,1
0.048683625,1,1,0,1,0,1
0.048683792,1,1,1,1,0,1
0.048684250,1,1,0,1,0,1
0.048684375,1,1,1,1,0,1
0.048690417,0,1,0,1,0,0
0.048690458,0,1,0,0,0,0
0.048690500,0,1,0,1,0,1
0.048690542,1,1,1,1,0,1
0.048705292,1,1,0,1,0,1
0.048705333,0,1,0,1,0,1
0.048705542,1,1,1,1,0,1
0.048705708,1,1,0,1,0,1
0.048705750,0,1,0,1,0,1
0.048706000,1,1,1,1,0,1
0.048706333,1,1,0,1,0,1
0.048706375,0,1,0,1,0,1
0.048706583,1,1,1,1,0,1
0.048706958,1,1,0,1,0,1
0.048707000,0,1,0,1,0,1
0.048707250,1,1,1,1,0,1
0.048707542,1,1,0,1,0,1
0.048708292,1,1,1,1,0,1
0.048726708,1,1,0,1,0,1
0.048726750,0,1,0,1,0,1
0.048726917,1,1,1,1,0,1
0.048727417,1,1,0,1,0,1
0.048727458,0,1,0,1,0,1
0.048730167,1,1,0,1,0,1
0.048730208,1,1,1,1,0,1
0.048739875,1,1,0,1,0,1
0.048739917,0,1,0,1,0,1
0.048741958,1,1,0,1,0,1
0.048742000,1,1,1,1,0,1
0.048742375,1,1,0,1,0,1
0.048742500,1,1,1,1,0,1
0.048752583,1,1,0,1,0,1
0.048752625,0,1,0,1,0,1
0.048752958,1,1,1,1,0,1
0.048753208,0,1,0,1,0,1
0.048754250,1,1,1,1,0,1
0.048754375,1,1,0,1,0,1
0.048754417,0,1,0,1,0,1
0.048754458,0,1,0,0,0,1
0.048754542,0,1,0,1,0,1
0.048756750,1,1,1,1,0,1
0.048759167,1,1,0,1,0,1
0.048759292,1,1,1,1,0,1
0.048769208,1,1,0,1,0,1
0.048769250,0,1,0,1,0,1
0.048769292,0,1,0,0,0,1
0.048769375,0,1,0,1,0,1
0.048769625,1,1,1,1,0,1
0.048769833,0,1,0,1,0,1
0.048773500,1,1,1,1,0,1
0.048775167,1,1,0,1,0,1
0.048776083,1,1,1,1,0,1
0.048777792,1,1,0,1,0,1
0.048778542,0,1,0,1,0,1
0.048778667,1,1,0,1,0,1
0.048778708,1,1,1,1,0,1
0.048783375,1,1,0,1,0,1
0.048785083,1,1,1,1,0,1
0.048788500,1,1,0,1,0,1
0.048788542,0,1,0,1,0,1
0.048792750,1,1,1,1,0,1
0.048793083,0,1,0,1,0,1
0.048793292,1,1,0,1,0,1
0.048793333,1,1,1,1,0,1
0.048793708,1,1,0,1,0,1
0.048793750,0,1,0,1,0,1
0.048794083,1,1,1,1,0,1
0.048794250,1,1,0,1,0,1
0.048794292,0,1,0,1,0,1
0.048795333,1,1,1,1,0,1
0.048795750,1,1,0,1,0,1
0.048795792,0,1,0,1,0,1
0.048795917,1,1,0,1,0,1
0.048795958,1,1,1,1,0,1
0.048796333,1,1,0,1,0,1
0.048796375,0,1,0,1,0,1
0.048798000,1,1,1,1,0,1
0.048798333,1,1,0,1,0,1
0.048798375,0,1,0,1,0,1
0.048798583,1,1,1,1,0,1
0.048798917,1,1,0,1,0,1
0.048798958,0,1,0,1,0,1
0.048800625,1,1,0,1,0,1
0.048800667,1,1,1,1,0,1
0.048804458,1,1,0,1,0,1
0.048805208,0,1,0,1,0,1
0.048806875,1,1,0,1,0,1
0.048806917,1,1,1,1,0,1
0.048807083,1,1,0,1,0,1
0.048807167,0,1,0,1,0,1
0.048807625,1,1,1,1,0,1
0.048807833,1,1,0,1,0,1
0.048808250,0,1,0,1,0,1
0.048811542,0,1,0,1,0,0
0.048811750,0,1,0,1,0,1
0.048814458,1,1,1,1,0,1
0.048814708,0,1,0,1,0,1
0.048815000,1,1,0,1,0,1
0.048815042,1,1,1,1,0,1
0.048815292,1,1,0,1,0,1
0.048815333,0,1,0,1,0,1
0.048817042,1,1,1,1,0,1
0.048817375,1,1,0,1,0,1
0.048817417,0,1,0,1,0,1
0.048817625,1,1,1,1,0,1
0.048817917,1,1,0,1,0,1
0.048817958,0,1,0,1,0,1
0.048819708,1,1,1,1,0,1
0.048819958,1,1,0,1,0,1
0.048820000,0,1,0,1,0,1
0.048820292,1,1,0,1,0,1
0.048820333,1,1,1,1,0,1
0.048820500,1,1,0,1,0,1
0.048820542,0,1,0,1,0,1
0.048822333,1,1,1,1,0,1
0.048825667,1,1,0,1,0,1
0.048825750,0,1,0,1,0,1
0.048832500,0,1,0,1,0,0
0.048833125,0,1,0,1,0,1
0.048833500,0,1,0,1,0,0
0.048833750,0,1,0,1,0,1
0.048834125,0,1,0,1,0,0
0.048834917,0,1,0,1,0,1
0.048835875,1,1,0,1,0,1
