Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
-0.001000000,0,0,0,0,1,0
-0.000001750,0,1,0,0,1,0
-0.000000750,0,1,0,0,0,0
0.000000000,0,1,0,1,0,0
0.000000292,0,1,0,1,0,1
0.000000833,1,1,0,1,0,1
0.000000875,1,1,1,1,0,1
0.003905125,0,1,0,1,0,1
0.150993167,0,1,0,1,0,0
0.155961292,0,1,0,1,0,1
0.165898792,0,0,0,0,0,1
0.165900917,0,0,1,0,0,1
0.165901875,0,0,0,0,0,1
0.165902833,0,0,1,0,0,1
0.165903750,0,0,0,0,0,1
0.165904708,0,0,1,0,0,1
0.165905667,0,0,0,0,0,1
0.165906625,0,0,1,0,0,1
0.165907542,0,0,0,0,0,1
0.165908500,0,0,1,0,0,1
0.165909458,0,0,0,0,0,1
0.165910417,0,0,1,0,0,1
0.165911375,0,0,0,0,0,1
0.165912292,0,0,1,0,0,1
0.165913250,0,0,0,0,0,1
0.165914208,0,1,1,0,0,1
0.165915167,0,1,0,0,0,1
0.165918958,0,0,1,0,0,1
0.165919875,0,0,0,0,0,1
0.165920833,1,0,1,0,0,1
0.165921792,1,0,0,0,0,1
0.165922750,1,0,1,0,0,1
0.165923708,1,0,0,0,0,1
0.165924625,1,0,1,0,0,1
0.165924667,0,0,1,0,0,1
0.165925583,0,0,0,0,0,1
0.165926542,1,0,1,0,0,1
0.165927500,1,0,0,0,0,1
0.165928417,1,0,1,0,0,1
0.165929375,1,0,0,0,0,1
0.165930333,1,0,1,0,0,1
0.165931292,1,0,0,0,0,1
0.165932208,1,0,1,0,0,1
0.165932250,1,1,1,0,0,1
0.165933167,1,1,0,0,0,1
0.165937000,1,0,1,0,0,1
0.165937958,1,0,0,0,0,1
0.165938917,1,0,1,0,0,1
0.165939875,1,0,0,0,0,1
0.165940792,1,0,1,0,0,1
0.165941750,1,0,0,0,0,1
0.165942708,0,0,1,0,0,1
0.165943667,0,0,0,0,0,1
0.165944625,0,0,1,0,0,1
0.165945542,0,0,0,0,0,1
0.165946500,0,0,1,0,0,1
0.165947458,0,0,0,0,0,1
0.165948417,0,0,1,0,0,1
0.165949333,0,0,0,0,0,1
0.165950292,0,1,1,0,0,1
