Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
-0.001000000,0,0,0,0,1,0
-0.000001542,0,1,0,0,1,0
-0.000000958,0,1,0,0,0,0
0.000000000,0,1,0,1,0,0
0.000000208,0,1,0,1,0,1
0.000000833,1,1,1,1,0,1
0.003885833,0,1,0,1,0,1
0.006746375,1,1,0,1,0,1
0.006746417,1,1,1,1,0,1
0.010588958,0,1,0,1,0,1
0.039167042,1,1,0,1,0,1
0.039167083,1,1,1,1,0,1
0.047556958,1,1,0,1,0,1
0.047557000,0,1,0,1,0,1
0.055751917,1,1,0,1,0,1
0.055751958,1,1,1,1,0,1
0.067534250,0,0,1,1,0,0
0.067534292,0,0,0,0,0,0
0.067534333,0,1,1,1,0,0
0.067534375,1,1,1,1,0,1
0.068355208,0,0,0,0,0,0
0.068355250,0,0,1,0,0,0
0.068355292,1,1,1,1,0,1
0.070403667,1,1,0,1,0,1
0.070403708,0,1,0,1,0,1
0.070404000,1,1,1,1,0,1
0.070404125,1,1,0,1,0,1
0.070404167,0,1,0,1,0,1
0.070404375,1,1,1,1,0,1
0.070414583,1,1,0,1,0,1
0.070414625,0,1,0,1,0,1
0.070414708,1,1,1,1,0,1
0.070415292,1,1,0,1,0,1
0.070415333,0,1,0,1,0,1
0.070416000,1,1,1,1,0,1
0.070416333,0,1,0,1,0,1
0.070416583,1,1,1,1,0,1
0.070416875,1,1,0,1,0,1
0.070416917,0,1,0,1,0,1
0.070417875,1,1,1,1,0,1
0.070431333,1,1,0,1,0,1
0.070431375,0,1,0,1,0,1
0.070431542,1,1,1,1,0,1
0.070432000,1,1,0,1,0,1
0.070432042,0,1,0,1,0,1
0.070432833,1,1,0,1,0,1
0.070432875,1,1,1,1,0,1
0.070433083,1,1,0,1,0,1
0.070433125,0,1,0,1,0,1
0.070433167,0,1,0,0,0,1
0.070433208,0,1,0,1,0,1
0.070433458,1,1,0,1,0,1
0.070433500,1,1,1,1,0,1
0.070433667,0,1,0,1,0,1
0.070435042,1,1,0,1,0,1
0.070435083,1,1,1,1,0,1
0.070453375,0,1,0,1,0,1
0.070453708,1,1,1,1,0,1
0.070454000,1,1,0,1,0,1
0.070454042,0,1,0,1,0,1
0.070455000,1,1,1,1,0,1
0.070455167,0,1,0,1,0,1
0.070455208,0,1,0,0,0,1
0.070455292,0,1,0,1,0,1
0.070457500,1,1,1,1,0,1
0.070462250,1,1,0,1,0,1
0.070462667,1,1,1,1,0,1
0.070464833,1,1,0,1,0,1
0.070465292,1,1,1,1,0,1
0.070475292,0,1,0,1,0,1
0.070475333,0,1,0,0,0,1
0.070475417,0,1,0,1,0,1
0.070475750,1,1,0,1,0,1
0.070475792,1,1,1,1,0,1
0.070475917,1,1,0,1,0,1
0.070475958,0,1,0,1,0,1
0.070479542,1,1,1,1,0,1
0.070481042,1,1,0,1,0,1
0.070481125,0,1,0,1,0,1
0.070481375,1,1,1,1,0,1
0.070481625,1,1,0,1,0,1
0.070481708,0,1,0,1,0,1
0.070482042,1,1,0,1,0,1
0.070482083,1,1,1,1,0,1
0.070483583,1,1,0,1,0,1
0.070483708,0,1,0,1,0,1
0.070484833,1,1,1,1,0,1
0.070485917,1,1,0,1,0,1
0.070485958,0,1,0,1,0,1
0.070487500,1,1,1,1,0,1
0.070491667,1,1,0,1,0,1
0.070492792,0,1,0,1,0,1
0.070493208,1,1,1,1,0,1
0.070493500,1,1,0,1,0,1
0.070494417,1,1,1,1,0,1
0.070497125,1,1,0,1,0,1
0.070497167,0,1,0,1,0,1
0.070501500,1,1,1,1,0,1
0.070501792,0,1,0,1,0,1
0.070502042,1,1,1,1,0,1
0.070502417,0,1,0,1,0,1
0.070517250,1,1,1,1,0,1
0.070520792,1,1,0,1,0,1
0.070520875,0,1,0,1,0,1
0.070528208,0,1,0,1,0,0
0.070528292,0,1,0,1,0,1
0.070528625,0,1,0,1,0,0
0.070528708,0,1,0,1,0,1
0.070529458,1,1,0,1,0,1
0.070529500,1,1,1,1,0,1
0.070531917,1,1,0,1,0,1
0.070532042,0,1,0,1,0,1
0.070538750,0,1,0,1,0,0
0.070539417,0,1,0,1,0,1
0.070539750,0,1,0,1,0,0
0.070539833,0,1,0,0,0,0
0.070539958,0,1,0,1,0,0
0.070540000,0,1,0,1,0,1
0.070540375,0,1,0,1,0,0
0.070541333,0,1,0,1,0,1
0.070544750,1,1,1,1,0,1
0.070544958,0,1,0,1,0,1
0.070545000,0,1,0,0,0,1
0.070545083,0,1,0,1,0,1
0.070547417,1,1,1,1,0,1
0.070547583,0,1,0,1,0,1
0.070550042,1,1,1,1,0,1
0.070552958,1,1,0,1,0,1
0.070553042,0,1,0,1,0,1
0.070559250,0,1,0,1,0,0
0.070559458,0,1,0,1,0,1
0.070559917,0,1,0,1,0,0
0.070560000,0,1,0,0,0,0
0.070560167,0,1,0,1,0,0
0.070560542,0,1,0,0,0,0
0.070560750,0,1,0,1,0,0
0.070560792,0,1,0,1,0,1
0.070561042,0,1,0,1,0,0
0.070561125,0,1,0,0,0,0
0.070561292,0,1,0,1,0,0
0.070561458,0,1,0,1,0,1
0.070561583,0,1,0,1,0,0
0.070563208,0,1,0,1,0,1
0.070566208,1,1,1,1,0,1
0.070566333,1,1,0,1,0,1
