Time [s],MOSI,MISO,SCK,NRF_CS,NRF_CE,RESET_n,Channel 6,Channel 7
-0.001000000,1,1,1,1,1,1,1,1
-0.000002083,1,0,1,1,1,1,1,1
-0.000000000,1,0,1,0,1,1,1,1
0.000099250,1,0,1,1,1,1,1,1
0.000100833,1,1,1,1,1,1,1,1
0.000110875,0,1,0,1,1,1,1,1
0.099919667,0,0,0,1,1,1,1,1
0.099920208,0,0,1,1,1,1,1,1
0.099920292,0,0,0,1,1,1,1,1
0.099920417,0,0,1,1,1,1,1,1
0.099920542,1,0,0,1,1,1,1,1
0.099920625,1,0,1,1,1,1,1,1
0.099920750,1,0,0,1,1,1,1,1
0.099920875,1,0,1,1,1,1,1,1
0.099920958,0,1,0,1,1,1,1,1
0.099921083,0,1,1,1,1,1,1,1
0.099921208,0,1,0,1,1,1,1,1
0.099921292,0,1,1,1,1,1,1,1
0.099921417,0,1,0,1,1,1,1,1
0.099921542,0,1,1,1,1,1,1,1
0.099921625,0,1,0,1,1,1,1,1
0.099921750,0,1,1,1,1,1,1,1
0.099921875,0,1,0,1,1,1,1,1
0.100913875,0,0,0,1,1,1,1,1
0.100914417,0,0,1,1,1,1,1,1
0.100914500,0,0,0,1,1,1,1,1
0.100914625,0,0,1,1,1,1,1,1
0.100914750,0,0,0,1,1,1,1,1
0.100914833,0,0,1,1,1,1,1,1
0.100914958,0,0,0,1,1,1,1,1
0.100915083,0,0,1,1,1,1,1,1
0.100915167,0,1,0,1,1,1,1,1
0.100915292,0,1,1,1,1,1,1,1
0.100915417,0,1,0,1,1,1,1,1
0.100915500,0,1,1,1,1,1,1,1
0.100915625,1,1,0,1,1,1,1,1
0.100915750,1,1,1,1,1,1,1,1
0.100915833,0,1,0,1,1,1,1,1
0.100915958,0,1,1,1,1,1,1,1
0.100916083,0,0,0,1,1,1,1,1
0.100916667,0,0,1,1,1,1,1,1
0.100916792,0,0,0,1,1,1,1,1
0.100916917,0,0,1,1,1,1,1,1
0.100917000,1,0,0,1,1,1,1,1
