Time [s],MOSI,MISO,SCK,NRF_CS,NRF_CE,RESET_n,Channel 6,Channel 7
-0.001000000,1,1,1,1,1,1,1,1
-0.000002125,1,0,1,1,1,1,1,1
0.000000000,1,0,1,0,1,1,1,1
0.000099208,1,0,1,1,1,1,1,1
0.000101000,1,1,1,1,1,1,1,1
0.000110833,0,1,0,1,1,1,1,1
0.099919708,0,0,0,1,1,1,1,1
0.099920250,0,0,1,1,1,1,1,1
0.099920375,0,0,0,1,1,1,1,1
0.099920458,0,0,1,1,1,1,1,1
0.099920583,1,0,0,1,1,1,1,1
0.099920708,1,0,1,1,1,1,1,1
0.099920792,1,0,0,1,1,1,1,1
0.099920917,1,0,1,1,1,1,1,1
0.099921042,0,1,0,1,1,1,1,1
0.099921125,0,1,1,1,1,1,1,1
0.099921250,0,1,0,1,1,1,1,1
0.099921375,0,1,1,1,1,1,1,1
0.099921458,0,1,0,1,1,1,1,1
0.099921583,0,1,1,1,1,1,1,1
0.099921708,0,1,0,1,1,1,1,1
0.099921792,0,1,1,1,1,1,1,1
0.099921917,0,1,0,1,1,1,1,1
0.100913917,0,0,0,1,1,1,1,1
0.100914458,0,0,1,1,1,1,1,1
0.100914583,0,0,0,1,1,1,1,1
0.100914667,0,0,1,1,1,1,1,1
0.100914792,0,0,0,1,1,1,1,1
0.100914917,0,0,1,1,1,1,1,1
0.100915000,0,0,0,1,1,1,1,1
0.100915125,0,0,1,1,1,1,1,1
0.100915250,0,1,0,1,1,1,1,1
0.100915333,0,1,1,1,1,1,1,1
0.100915458,0,1,0,1,1,1,1,1
0.100915583,0,1,1,1,1,1,1,1
0.100915667,1,1,0,1,1,1,1,1
0.100915792,1,1,1,1,1,1,1,1
0.100915917,0,1,0,1,1,1,1,1
0.100916000,0,1,1,1,1,1,1,1
0.100916125,0,0,0,1,1,1,1,1
0.100916750,0,0,1,1,1,1,1,1
0.100916833,0,0,0,1,1,1,1,1
0.100916958,0,0,1,1,1,1,1,1
0.100917083,1,0,0,1,1,1,1,1
0.100917167,1,0,1,1,1,1,1,1
0.100917292,0,0,0,1,1,1,1,1
0.100917417,0,0,1,1,1,1,1,1
0.100917500,1,0,0,1,1,1,1,1
0.100917542,1,1,0,1,1,1,1,1
0.100917625,1,1,1,1,1,1,1,1
0.100917750,1,1,0,1,1,1,1,1
0.100917833,1,1,1,1,1,1,1,1
0.100917958,1,1,0,1,1,1,1,1
0.100918083,1,1,1,1,1,1,1,1
0.100918167,1,1,0,1,1,1,1,1
0.100918292,1,1,1,1,1,1,1,1
0.100918417,0,0,0,1,1,1,1,1
0.100920917,0,0,1,1,1,1,1,1
0.100921000,0,0,0,1,1,1,1,1
0.100921125,0,0,1,1,1,1,1,1
0.100921250,0,0,0,1,1,1,1,1
0.100921333,0,0,1,1,1,1,1,1
0.100921458,0,0,0,1,1,1,1,1
0.100921583,0,0,1,1,1,1,1,1
0.100921667,0,0,0,1,1,1,1,1
0.100921708,0,1,0,1,1,1,1,1
0.100921792,0,1,1,1,1,1,1,1
0.100921917,0,1,0,1,1,1,1,1
0.100922000,0,1,1,1,1,1,1,1
0.100922125,0,1,0,1,1,1,1,1
0.100922250,0,1,1,1,1,1,1,1
0.100922333,0,1,0,1,1,1,1,1
0.100922458,0,1,1,1,1,1,1,1
0.100922583,0,0,0,1,1,1,1,1
0.100923167,0,0,1,1,1,1,1,1
0.100923292,0,0,0,1,1,1,1,1
0.100923417,0,0,1,1,1,1,1,1
0.100923500,1,0,0,1,1,1,1,1
0.100923625,1,0,1,1,1,1,1,1
0.100923750,0,0,0,1,1,1,1,1
0.100923833,0,0,1,1,1,1,1,1
0.100923958,1,1,0,1,1,1,1,1
0.100924083,1,1,1,1,1,1,1,1
0.100924167,1,1,0,1,1,1,1,1
0.100924292,1,1,1,1,1,1,1,1
0.100924417,1,1,0,1,1,1,1,1
0.100924500,1,1,1,1,1,1,1,1
0.100924625,1,1,0,1,1,1,1,1
0.100924750,1,1,1,1,1,1,1,1
0.100924833,0,1,0,1,1,1,1,1
0.100924875,0,0,0,1,1,1,1,1
0.100926958,1,0,0,1,1,1,1,1
0.100927167,1,0,1,1,1,1,1,1
0.100927250,0,0,0,1,1,1,1,1
0.100927375,0,0,1,1,1,1,1,1
0.100927500,0,0,0,1,1,1,1,1
0.100927583,0,0,1,1,1,1,1,1
0.100927708,0,0,0,1,1,1,1,1
0.100927833,0,0,1,1,1,1,1,1
0.100927917,1,0,0,1,1,1,1,1
0.100928042,1,0,1,1,1,1,1,1
0.100928167,1,0,0,1,1,1,1,1
0.100928250,1,0,1,1,1,1,1,1
0.100928375,1,0,0,1,1,1,1,1
0.100928500,1,0,1,1,1,1,1,1
0.100928583,0,0,0,1,1,1,1,1
0.100928708,0,0,1,1,1,1,1,1
0.100928833,1,1,0,1,1,1,1,1
0.100929333,0,1,0,1,1,1,1,1
0.100929542,0,1,1,1,1,1,1,1
0.100929667,0,1,0,1,1,1,1,1
0.100929750,0,1,1,1,1,1,1,1
0.100929875,0,0,0,1,1,1,1,1
0.100930000,0,0,1,1,1,1,1,1
0.100930083,0,0,0,1,1,1,1,1
0.100930208,0,0,1,1,1,1,1,1
0.100930333,0,0,0,1,1,1,1,1
0.100930417,0,0,1,1,1,1,1,1
0.100930542,0,1,0,1,1,1,1,1
0.100930667,0,1,1,1,1,1,1,1
0.100930750,0,1,0,1,1,1,1,1
0.100930792,0,0,0,1,1,1,1,1
0.100930875,0,0,1,1,1,1,1,1
0.100931000,0,0,0,1,1,1,1,1
0.100931083,0,0,1,1,1,1,1,1
0.100931208,0,0,0,1,1,1,1,1
0.100933958,0,1,0,1,1,1,1,1
0.100934250,0,1,1,1,1,1,1,1
0.100934333,0,1,0,1,1,1,1,1
0.100934458,0,1,1,1,1,1,1,1
0.100934583,0,1,0,1,1,1,1,1
0.100934667,0,1,1,1,1,1,1,1
0.100934792,0,1,0,1,1,1,1,1
0.100934917,0,1,1,1,1,1,1,1
0.100935000,0,1,0,1,1,1,1,1
0.100935125,0,1,1,1,1,1,1,1
0.100935250,0,1,0,1,1,1,1,1
0.100935333,0,1,1,1,1,1,1,1
0.100935458,0,1,0,1,1,1,1,1
0.100935583,0,1,1,1,1,1,1,1
0.100935667,0,1,0,1,1,1,1,1
0.100935792,0,1,1,1,1,1,1,1
0.100935917,0,1,0,1,1,1,1,1
0.100936542,0,1,1,1,1,1,1,1
0.100936667,0,1,0,1,1,1,1,1
0.100936750,0,1,1,1,1,1,1,1
0.100936875,0,1,0,1,1,1,1,1
0.100937000,0,1,1,1,1,1,1,1
0.100937083,0,1,0,1,1,1,1,1
0.100937208,0,1,1,1,1,1,1,1
0.100937333,0,1,0,1,1,1,1,1
0.100937417,0,1,1,1,1,1,1,1
0.100937542,0,1,0,1,1,1,1,1
0.100937667,0,1,1,1,1,1,1,1
0.100937750,0,1,0,1,1,1,1,1
0.100937875,0,1,1,1,1,1,1,1
0.100938000,0,1,0,1,1,1,1,1
0.100938083,0,1,1,1,1,1,1,1
0.100938208,0,1,0,1,1,1,1,1
0.101914708,0,1,1,1,1,1,1,1
0.101914833,0,1,0,1,1,1,1,1
0.101914958,0,1,1,1,1,1,1,1
0.101915042,0,1,0,1,1,1,1,1
0.101915167,0,1,1,1,1,1,1,1
0.101915292,0,1,0,1,1,1,1,1
0.101915375,0,1,1,1,1,1,1,1
0.101915500,1,1,0,1,1,1,1,1
0.101915625,1,1,1,1,1,1,1,1
0.101915708,0,1,0,1,1,1,1,1
0.101915833,0,1,1,1,1,1,1,1
0.101915958,1,1,0,1,1,1,1,1
0.101916042,1,1,1,1,1,1,1,1
0.101916167,1,1,0,1,1,1,1,1
0.101916292,1,1,1,1,1,1,1,1
0.101916375,0,1,0,1,1,1,1,1
0.101917042,0,1,1,1,1,1,1,1
0.101917125,0,1,0,1,1,1,1,1
0.101917250,0,1,1,1,1,1,1,1
0.101917375,1,1,0,1,1,1,1,1
0.101917458,1,1,1,1,1,1,1,1
0.101917583,1,1,0,1,1,1,1,1
0.101917708,1,1,1,1,1,1,1,1
0.101917792,0,1,0,1,1,1,1,1
0.101917917,0,1,1,1,1,1,1,1
0.101918042,0,1,0,1,1,1,1,1
0.101918125,0,1,1,1,1,1,1,1
0.101918250,1,1,0,1,1,1,1,1
0.101918375,1,1,1,1,1,1,1,1
0.101918458,1,1,0,1,1,1,1,1
0.101918583,1,1,1,1,1,1,1,1
0.101918708,0,1,0,1,1,1,1,1
0.101921083,0,1,1,1,1,1,1,1
0.101921208,0,1,0,1,1,1,1,1
0.101921292,0,1,1,1,1,1,1,1
0.101921417,0,1,0,1,1,1,1,1
0.101921542,0,1,1,1,1,1,1,1
0.101921625,0,1,0,1,1,1,1,1
0.101921750,0,1,1,1,1,1,1,1
0.101921875,1,1,0,1,1,1,1,1
0.101921958,1,1,1,1,1,1,1,1
0.101922083,1,1,0,1,1,1,1,1
0.101922208,1,1,1,1,1,1,1,1
0.101922292,0,1,0,1,1,1,1,1
0.101922417,0,1,1,1,1,1,1,1
0.101922542,0,1,0,1,1,1,1,1
0.101922625,0,1,1,1,1,1,1,1
0.101922750,0,1,0,1,1,1,1,1
0.101923375,0,1,1,1,1,1,1,1
0.101923500,0,1,0,1,1,1,1,1
0.101923625,0,1,1,1,1,1,1,1
0.101923708,1,1,0,1,1,1,1,1
0.101923833,1,1,1,1,1,1,1,1
0.101923958,1,1,0,1,1,1,1,1
0.101924042,1,1,1,1,1,1,1,1
0.101924167,0,1,0,1,1,1,1,1
0.101924292,0,1,1,1,1,1,1,1
0.101924375,0,1,0,1,1,1,1,1
0.101924500,0,1,1,1,1,1,1,1
0.101924625,1,1,0,1,1,1,1,1
0.101924708,1,1,1,1,1,1,1,1
0.101924833,1,1,0,1,1,1,1,1
0.101924958,1,1,1,1,1,1,1,1
0.101925042,0,1,0,1,1,1,1,1
0.101927375,0,1,1,1,1,1,1,1
0.101927458,0,1,0,1,1,1,1,1
0.101927500,1,1,0,1,1,1,1,1
0.101927583,1,1,1,1,1,1,1,1
0.101927708,0,1,0,1,1,1,1,1
0.101927792,0,1,1,1,1,1,1,1
0.101927917,1,1,0,1,1,1,1,1
0.101928042,1,1,1,1,1,1,1,1
0.101928125,0,1,0,1,1,1,1,1
0.101928250,0,1,1,1,1,1,1,1
0.101928375,0,1,0,1,1,1,1,1
0.101928458,0,1,1,1,1,1,1,1
0.101928583,0,1,0,1,1,1,1,1
0.101928708,0,1,1,1,1,1,1,1
0.101928792,0,1,0,1,1,1,1,1
0.101928917,0,1,1,1,1,1,1,1
0.101929042,0,1,0,1,1,1,1,1
0.101930042,1,1,0,1,1,1,1,1
0.101931125,1,1,1,1,1,1,1,1
0.101931250,0,1,0,1,1,1,1,1
0.101931375,0,1,1,1,1,1,1,1
0.101931458,0,1,0,1,1,1,1,1
0.101931583,0,1,1,1,1,1,1,1
0.101931708,1,1,0,1,1,1,1,1
0.101931792,1,1,1,1,1,1,1,1
0.101931917,1,1,0,1,1,1,1,1
0.101932042,1,1,1,1,1,1,1,1
0.101932125,1,1,0,1,1,1,1,1
0.101932250,1,1,1,1,1,1,1,1
0.101932375,1,1,0,1,1,1,1,1
0.101932458,1,1,1,1,1,1,1,1
0.101932583,0,1,0,1,1,1,1,1
0.101932708,0,1,1,1,1,1,1,1
0.101932792,0,1,0,1,1,1,1,1
0.101935833,1,1,0,1,1,1,1,1
0.101936042,1,1,1,1,1,1,1,1
0.101936125,1,1,0,1,1,1,1,1
0.101936167,0,1,0,1,1,1,1,1
0.101936250,0,1,1,1,1,1,1,1
0.101936375,1,1,0,1,1,1,1,1
0.101936500,1,1,1,1,1,1,1,1
0.101936583,0,1,0,1,1,1,1,1
0.101936708,0,1,1,1,1,1,1,1
0.101936792,0,1,0,1,1,1,1,1
0.101936917,0,1,1,1,1,1,1,1
0.101937042,0,1,0,1,1,1,1,1
0.101937167,0,1,1,1,1,1,1,1
0.101937250,0,1,0,1,1,1,1,1
0.101937375,0,1,1,1,1,1,1,1
0.101937458,0,1,0,1,1,1,1,1
0.101937583,0,1,1,1,1,1,1,1
0.101937708,1,1,0,1,1,1,1,1
0.102141958,1,1,1,1,1,1,1,1
0.102142042,1,1,0,1,1,1,1,1
0.102142083,0,1,0,1,1,1,1,1
0.102142167,0,1,1,1,1,1,1,1
