Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
-0.001000000,0,0,0,0,1,0
-0.000035583,0,0,0,0,1,1
-0.000027667,0,0,0,0,0,1
-0.000001417,0,0,1,0,0,1
-0.000000750,1,0,1,0,0,1
0.000000000,1,0,1,1,0,1
0.000064750,1,1,1,1,0,1
0.000065417,1,1,1,1,1,1
0.003908667,1,1,0,1,1,1
0.003908708,0,1,0,1,1,1
0.151005583,0,1,0,1,1,0
0.151005625,0,1,0,1,0,0
0.155973958,0,1,0,1,0,1
0.165911458,0,0,0,0,0,1
0.165913583,0,0,1,0,0,1
0.165914542,0,0,0,0,0,1
0.165915500,0,0,1,0,0,1
0.165916417,0,0,0,0,0,1
0.165917375,0,0,1,0,0,1
0.165918333,0,0,0,0,0,1
0.165919292,0,0,1,0,0,1
0.165920208,0,0,0,0,0,1
0.165921167,0,0,1,0,0,1
0.165922125,0,0,0,0,0,1
0.165923083,0,0,1,0,0,1
0.165924042,0,0,0,0,0,1
0.165924958,0,0,1,0,0,1
0.165925917,0,0,0,0,0,1
0.165926875,0,1,1,0,0,1
0.165927833,0,1,0,0,0,1
0.165931625,0,0,1,0,0,1
0.165932583,0,0,0,0,0,1
0.165933500,0,0,1,0,0,1
0.165933542,1,0,1,0,0,1
0.165934458,1,0,0,0,0,1
0.165935417,1,0,1,0,0,1
0.165936375,1,0,0,0,0,1
0.165937292,1,0,1,0,0,1
0.165937333,0,0,1,0,0,1
0.165938250,0,0,0,0,0,1
0.165939208,1,0,1,0,0,1
0.165940167,1,0,0,0,0,1
0.165941083,1,0,1,0,0,1
0.165942042,1,0,0,0,0,1
0.165943000,1,0,1,0,0,1
0.165943958,1,0,0,0,0,1
0.165944917,1,1,1,0,0,1
0.165945833,1,1,0,0,0,1
0.165949667,1,1,1,0,0,1
0.165949708,1,0,1,0,0,1
0.165950625,1,0,0,0,0,1
0.165951583,1,0,1,0,0,1
0.165952542,1,0,0,0,0,1
0.165953500,1,0,1,0,0,1
0.165954417,1,0,0,0,0,1
0.165955375,0,0,1,0,0,1
0.165956333,0,0,0,0,0,1
0.165957292,0,0,1,0,0,1
0.165958208,0,0,0,0,0,1
0.165959167,0,0,1,0,0,1
0.165960125,0,0,0,0,0,1
0.165961083,0,0,1,0,0,1
0.165962042,0,0,0,0,0,1
0.165962958,0,1,1,0,0,1
