Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
-0.001000000,0,0,0,0,1,0
-0.000076375,0,0,0,0,0,0
-0.000005792,0,0,0,0,0,1
-0.000001500,0,0,1,0,0,1
-0.000000708,1,0,1,0,0,1
0.000000000,1,0,1,1,0,1
0.000061333,1,1,1,1,0,1
0.003878708,0,1,0,1,0,1
0.150996500,0,1,0,1,0,0
0.155966375,0,1,0,1,0,1
0.165906667,0,1,0,0,0,1
0.165906708,0,0,0,0,0,1
0.165908792,0,0,1,0,0,1
0.165909750,0,0,0,0,0,1
0.165910708,0,0,1,0,0,1
0.165911667,0,0,0,0,0,1
0.165912583,0,0,1,0,0,1
0.165913542,0,0,0,0,0,1
0.165914500,0,0,1,0,0,1
0.165915458,0,0,0,0,0,1
0.165916375,0,0,1,0,0,1
0.165917333,0,0,0,0,0,1
0.165918292,0,0,1,0,0,1
0.165919250,0,0,0,0,0,1
0.165920167,0,0,1,0,0,1
0.165921125,0,0,0,0,0,1
0.165922083,0,1,1,0,0,1
0.165923042,0,1,0,0,0,1
0.165926833,0,0,1,0,0,1
0.165927792,0,0,0,0,0,1
0.165928708,0,0,1,0,0,1
0.165928750,1,0,1,0,0,1
0.165929667,1,0,0,0,0,1
0.165930625,1,0,1,0,0,1
0.165931583,1,0,0,0,0,1
0.165932500,1,0,1,0,0,1
0.165932542,0,0,1,0,0,1
0.165933458,0,0,0,0,0,1
0.165934417,1,0,1,0,0,1
0.165935375,1,0,0,0,0,1
0.165936333,1,0,1,0,0,1
0.165937250,1,0,0,0,0,1
0.165938208,1,0,1,0,0,1
0.165939167,1,0,0,0,0,1
0.165940125,1,1,1,0,0,1
0.165941042,1,1,0,0,0,1
0.165944917,1,0,1,0,0,1
0.165945833,1,0,0,0,0,1
0.165946792,1,0,1,0,0,1
0.165947750,1,0,0,0,0,1
0.165948708,1,0,1,0,0,1
0.165949667,1,0,0,0,0,1
0.165950583,1,0,1,0,0,1
0.165950625,0,0,1,0,0,1
0.165951542,0,0,0,0,0,1
0.165952500,0,0,1,0,0,1
0.165953458,0,0,0,0,0,1
0.165954375,0,0,1,0,0,1
0.165955333,0,0,0,0,0,1
0.165956292,0,0,1,0,0,1
0.165957250,0,0,0,0,0,1
0.165958208,0,1,1,0,0,1
0.165959125,0,1,0,0,0,1
0.165961000,0,1,0,1,0,1
0.165962458,0,1,0,0,0,1
0.165964542,0,1,1,0,0,1
0.165964583,0,0,1,0,0,1
0.165965500,0,0,0,0,0,1
0.165966458,0,0,1,0,0,1
0.165967417,0,0,0,0,0,1
0.165968375,0,0,1,0,0,1
0.165969292,0,0,0,0,0,1
0.165970250,0,0,1,0,0,1
0.165971208,0,0,0,0,0,1
0.165972167,0,0,1,0,0,1
0.165973083,0,0,0,0,0,1
0.165974042,0,0,1,0,0,1
0.165975000,0,0,0,0,0,1
0.165975958,0,0,1,0,0,1
0.165976917,0,0,0,0,0,1
0.165977833,0,1,1,0,0,1
0.165977875,1,1,1,0,0,1
0.165978792,1,1,0,0,0,1
0.165982583,0,0,1,0,0,1
0.165983542,0,0,0,0,0,1
0.165984500,1,0,1,0,0,1
0.165985458,1,0,0,0,0,1
0.165986375,1,0,1,0,0,1
0.165986417,0,0,1,0,0,1
0.165987333,0,0,0,0,0,1
0.165988292,1,0,1,0,0,1
0.165989250,1,0,0,0,0,1
0.165990167,1,0,1,0,0,1
0.165990208,0,0,1,0,0,1
0.165991125,0,0,0,0,0,1
0.165992083,1,0,1,0,0,1
0.165993042,1,0,0,0,0,1
0.165994000,1,0,1,0,0,1
0.165994917,1,0,0,0,0,1
0.165995875,0,1,1,0,0,1
0.165996833,0,1,0,0,0,1
0.166000667,1,0,1,0,0,1
0.166001625,1,0,0,0,0,1
0.166002583,0,0,1,0,0,1
0.166003500,0,0,0,0,0,1
0.166004458,0,0,1,0,0,1
0.166005417,0,0,0,0,0,1
0.166006375,0,0,1,0,0,1
0.166007333,0,0,0,0,0,1
0.166008250,0,0,1,0,0,1
0.166009208,0,0,0,0,0,1
0.166010167,0,0,1,0,0,1
0.166011125,0,0,0,0,0,1
0.166012042,0,0,1,0,0,1
0.166013000,0,0,0,0,0,1
0.166013958,1,1,1,0,0,1
0.166014917,1,1,0,0,0,1
0.166016750,1,1,0,1,0,1
0.166018167,1,1,0,0,0,1
0.166020292,0,0,1,0,0,1
0.166021250,0,0,0,0,0,1
0.166022167,0,0,1,0,0,1
0.166023125,0,0,0,0,0,1
0.166024083,0,0,1,0,0,1
0.166025042,0,0,0,0,0,1
0.166025958,0,0,1,0,0,1
0.166026917,0,0,0,0,0,1
0.166027875,0,0,1,0,0,1
0.166028833,0,0,0,0,0,1
0.166029792,0,0,1,0,0,1
0.166030708,0,0,0,0,0,1
0.166031667,1,0,1,0,0,1
0.166032625,1,0,0,0,0,1
0.166033583,0,1,1,0,0,1
0.166034500,0,1,0,0,0,1
0.166038333,0,0,1,0,0,1
0.166039250,0,0,0,0,0,1
0.166040208,1,0,1,0,0,1
0.166041167,1,0,0,0,0,1
0.166042125,1,0,1,0,0,1
0.166043042,1,0,0,0,0,1
0.166044000,0,0,1,0,0,1
0.166044958,0,0,0,0,0,1
0.166045917,0,0,1,0,0,1
0.166046875,0,0,0,0,0,1
0.166047792,0,0,1,0,0,1
