Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
-0.001000000,0,0,0,0,1,0
-0.000002375,0,0,0,0,0,0
-0.000001542,0,1,0,0,0,0
-0.000000000,0,1,0,1,0,0
0.000000583,0,1,0,1,0,1
0.000001125,1,1,1,1,0,1
0.003923750,0,1,0,1,0,1
0.150988792,0,1,0,1,0,0
0.155956083,0,1,0,1,0,1
0.165891458,0,0,0,0,0,1
0.165893583,0,0,1,0,0,1
0.165894542,0,0,0,0,0,1
0.165895458,0,0,1,0,0,1
0.165896417,0,0,0,0,0,1
0.165897375,0,0,1,0,0,1
0.165898333,0,0,0,0,0,1
0.165899250,0,0,1,0,0,1
0.165900208,0,0,0,0,0,1
0.165901167,0,0,1,0,0,1
0.165902125,0,0,0,0,0,1
0.165903042,0,0,1,0,0,1
0.165904000,0,0,0,0,0,1
0.165904958,0,0,1,0,0,1
0.165905917,0,0,0,0,0,1
0.165906875,0,1,1,0,0,1
0.165907792,0,1,0,0,0,1
0.165911583,0,0,1,0,0,1
0.165912542,0,0,0,0,0,1
0.165913500,1,0,1,0,0,1
0.165914458,1,0,0,0,0,1
0.165915375,1,0,1,0,0,1
0.165916333,1,0,0,0,0,1
0.165917292,0,0,1,0,0,1
0.165918250,0,0,0,0,0,1
0.165919208,1,0,1,0,0,1
0.165920125,1,0,0,0,0,1
0.165921083,1,0,1,0,0,1
0.165922042,1,0,0,0,0,1
0.165923000,1,0,1,0,0,1
0.165923917,1,0,0,0,0,1
0.165924875,1,1,1,0,0,1
0.165925833,1,1,0,0,0,1
0.165929667,1,0,1,0,0,1
0.165930625,1,0,0,0,0,1
0.165931583,1,0,1,0,0,1
0.165932500,1,0,0,0,0,1
0.165933458,1,0,1,0,0,1
0.165934417,1,0,0,0,0,1
0.165935375,0,0,1,0,0,1
0.165936292,0,0,0,0,0,1
0.165937250,0,0,1,0,0,1
0.165938208,0,0,0,0,0,1
0.165939167,0,0,1,0,0,1
0.165940125,0,0,0,0,0,1
0.165941042,0,0,1,0,0,1
0.165942000,0,0,0,0,0,1
0.165942958,0,1,1,0,0,1
0.165943917,0,1,0,0,0,1
0.165945750,0,1,0,1,0,1
0.165947208,0,1,0,0,0,1
0.165949333,0,0,1,0,0,1
0.165950250,0,0,0,0,0,1
0.165951208,0,0,1,0,0,1
0.165952167,0,0,0,0,0,1
0.165953125,0,0,1,0,0,1
0.165954083,0,0,0,0,0,1
0.165955000,0,0,1,0,0,1
0.165955958,0,0,0,0,0,1
0.165956917,0,0,1,0,0,1
0.165957875,0,0,0,0,0,1
0.165958792,0,0,1,0,0,1
0.165959750,0,0,0,0,0,1
0.165960708,0,0,1,0,0,1
0.165961667,0,0,0,0,0,1
0.165962583,0,0,1,0,0,1
0.165962625,1,1,1,0,0,1
0.165963542,1,1,0,0,0,1
0.165967333,0,0,1,0,0,1
0.165968292,0,0,0,0,0,1
0.165969250,1,0,1,0,0,1
0.165970208,1,0,0,0,0,1
0.165971125,1,0,1,0,0,1
0.165971167,0,0,1,0,0,1
0.165972083,0,0,0,0,0,1
0.165973042,1,0,1,0,0,1
