Time [s],MOSI,MISO,SCK,CS
-0.001000042,1,1,1,1
0.000000000,1,0,1,0
0.000099833,1,0,1,1
0.000102958,1,1,1,1
0.000112875,0,1,0,1
0.099921792,0,0,0,0
0.099922333,0,0,1,0
0.099922417,0,0,0,0
0.099922542,0,0,1,0
0.099922667,1,0,0,0
0.099922750,1,0,1,0
0.099922875,1,0,0,0
0.099923000,1,0,1,0
0.099923083,0,0,0,0
0.099923125,0,1,0,0
0.099923208,0,1,1,0
0.099923333,0,1,0,0
0.099923417,0,1,1,0
0.099923542,0,1,0,0
0.099923667,0,1,1,0
0.099923750,0,1,0,0
0.099923875,0,1,1,0
0.099924000,0,1,0,0
0.099924875,0,1,0,1
0.100916000,0,1,0,0
0.100916042,0,0,0,0
0.100916542,0,0,1,0
0.100916667,0,0,0,0
0.100916792,0,0,1,0
0.100916875,0,0,0,0
0.100917000,0,0,1,0
0.100917125,0,0,0,0
0.100917208,0,0,1,0
0.100917333,0,1,0,0
0.100917458,0,1,1,0
0.100917542,0,1,0,0
0.100917667,0,1,1,0
0.100917792,1,1,0,0
0.100917875,1,1,1,0
0.100918000,0,1,0,0
0.100918125,0,1,1,0
0.100918208,0,1,0,0
0.100918250,0,0,0,0
0.100918833,0,0,1,0
0.100918958,0,0,0,0
0.100919042,0,0,1,0
0.100919167,1,0,0,0
0.100919292,1,0,1,0
0.100919375,0,0,0,0
0.100919500,0,0,1,0
0.100919625,1,1,0,0
0.100919708,1,1,1,0
0.100919833,1,1,0,0
0.100919958,1,1,1,0
0.100920042,1,1,0,0
0.100920167,1,1,1,0
0.100920292,1,1,0,0
0.100920375,1,1,1,0
0.100920500,0,0,0,0
0.100921375,0,0,0,1
0.100922458,0,0,0,0
0.100923000,0,0,1,0
0.100923125,0,0,0,0
0.100923208,0,0,1,0
0.100923333,0,0,0,0
0.100923458,0,0,1,0
0.100923542,0,0,0,0
0.100923667,0,0,1,0
0.100923792,0,1,0,0
0.100923875,0,1,1,0
0.100924000,0,1,0,0
0.100924125,0,1,1,0
0.100924208,0,1,0,0
0.100924333,0,1,1,0
0.100924458,0,1,0,0
0.100924542,0,1,1,0
0.100924667,0,0,0,0
0.100925292,0,0,1,0
0.100925375,0,0,0,0
0.100925500,0,0,1,0
0.100925625,1,0,0,0
0.100925708,1,0,1,0
0.100925833,0,0,0,0
0.100925958,0,0,1,0
0.100926042,1,0,0,0
0.100926083,1,1,0,0
0.100926167,1,1,1,0
0.100926292,1,1,0,0
0.100926375,1,1,1,0
0.100926500,1,1,0,0
0.100926625,1,1,1,0
0.100926708,1,1,0,0
0.100926833,1,1,1,0
0.100926958,0,0,0,0
0.100927833,0,0,0,1
0.100928708,0,0,0,0
0.100929042,1,0,0,0
0.100929250,1,0,1,0
0.100929375,0,0,0,0
0.100929458,0,0,1,0
0.100929583,0,0,0,0
0.100929708,0,0,1,0
0.100929792,0,0,0,0
0.100929917,0,0,1,0
0.100930042,1,0,0,0
0.100930125,1,0,1,0
0.100930250,1,0,0,0
0.100930375,1,0,1,0
0.100930458,1,0,0,0
0.100930583,1,0,1,0
0.100930708,0,0,0,0
0.100930792,0,0,1,0
0.100930917,1,1,0,0
0.100931458,0,1,0,0
0.100931625,0,1,1,0
0.100931750,0,1,0,0
0.100931875,0,1,1,0
0.100931958,0,1,0,0
0.100932000,0,0,0,0
0.100932083,0,0,1,0
0.100932208,0,0,0,0
0.100932292,0,0,1,0
0.100932417,0,0,0,0
0.100932542,0,0,1,0
0.100932625,0,0,0,0
0.100932667,0,1,0,0
0.100932750,0,1,1,0
0.100932875,0,0,0,0
0.100932958,0,0,1,0
0.100933083,0,0,0,0
0.100933208,0,0,1,0
0.100933292,0,0,0,0
0.100934417,0,0,0,1
0.100936083,0,1,0,1
0.100936167,0,0,0,1
0.100936292,0,1,1,1
0.100936417,0,1,0,1
0.100936542,0,1,1,1
0.100936625,0,1,0,1
0.100936750,0,1,1,1
0.100936875,0,1,0,1
0.100936958,0,1,1,1
0.100937083,0,1,0,1
